구인신청일자,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처,인증구분,등급,인증발급일,인증만료일,시작일자,종료일자,시군구명
2023-06-30,에이치앤엠헤네스앤모리츠 주식회사,매장 정리원(매장 보조원),상용직,시급,11544,무관,무관,무관,,    ,서울특별시 종로구 종로 51 17층,중소,서울동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-08-29,서울
2023-06-30,농업회사법인주식회사준호 ,마케팅·광고·홍보·상품기획 사무원,상용직,월급,1510000,무관,1년미만,무관,,    ,제주특별자치도 제주시 조천읍 선흘서5길 5-71,중소,제주지사,2023-07-03,1588-1519,없음,없음,없음,없음,2023-06-30,2023-09-29,제주도
2023-06-30,쿠팡로지스틱스서비스유한회사,인사 사무원,계약직,월급,2100000,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 332  현정빌딩 9층,대기업,서울동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-09-22,서울
2023-06-30,쿠팡로지스틱스서비스유한회사,환경 미화원,계약직,월급,1240000,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 332  현정빌딩 9층,대기업,서울동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-09-22,서울
2023-06-30,쿠팡로지스틱스서비스유한회사,교육 관리자(부서장),계약직,월급,1690000,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 332  현정빌딩 9층,대기업,서울동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-09-22,서울
2023-06-30,쿠팡로지스틱스서비스유한회사,신문·음료(우유·요구르트 등) 기타 배달원,계약직,월급,1350000,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 332  현정빌딩 9층,대기업,서울동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-09-22,서울
2023-06-30,나은힐링안마센터,안마사,상용직,월급,2010580,무관,1년미만,무관,,    ,경기도 용인시 기흥구 죽전로 29  701호,개인,경기동부지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-07-07,경기도
2023-06-30,(주)맨파워코리아,총무 및 일반 사무원,상용직,시급,9620,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 409,중소,충남지사,2023-07-05,1588-1519,없음,없음,없음,없음,2023-06-30,2023-07-31,서울
2023-06-30,엔켐,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,충청북도 제천시 바이오밸리로 107 엔켐,중소,충남지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-07-31,충청도
2023-06-30,좋은선린병원,의료 보조원,계약직,시급,9620,무관,1년미만,무관,,    ,경상북도 포항시 북구 대신로 43,중소,경북지사,2023-06-30,1588-1519,없음,없음,없음,없음,2023-06-30,2023-07-07,경상도
